price	bus_min	walk_min	shikirei	area	years	floor	ac	closet	flooring	balcony	train_min	num_exchange	num_stations	train_fare	km	station
74000	0	6	4	18.48	9	1	1	1	0	1	6	1	1	160	4.2	higashi_kitazawa
90000	0	3	4	28	6	0	1	1	1	0	6	1	1	160	4.2	higashi_kitazawa
66000	0	6	4	16	10	1	0	1	0	1	6	1	1	160	4.2	higashi_kitazawa
72000	0	10	4	18	4	1	0	1	1	0	6	1	1	160	4.2	higashi_kitazawa
82000	0	8	4	21.5	4	1	1	1	1	0	6	1	1	160	4.2	higashi_kitazawa
92000	0	2	4	22.87	6	1	1	1	0	1	6	1	1	160	4.2	higashi_kitazawa
95000	0	3	4	21	5	1	1	1	1	1	6	1	1	160	4.2	higashi_kitazawa
71000	0	5	3	19.87	3	0	1	1	1	0	6	1	1	160	4.2	higashi_kitazawa
64000	0	4	4	16	10	1	0	1	0	1	6	1	1	160	4.2	higashi_kitazawa
75000	0	6	4	22.17	11	1	0	1	0	1	6	1	1	160	4.2	higashi_kitazawa
53000	0	10	4	16.12	9	0	0	1	0	0	6	2	0	160	4.9	shimo_kitazawa
64000	0	7	4	23.13	10	0	0	1	0	0	6	2	0	160	4.9	shimo_kitazawa
69000	0	15	3	17.16	13	1	0	0	0	1	6	2	0	160	4.9	shimo_kitazawa
65000	0	7	4	19.72	12	1	0	1	0	0	6	2	0	160	4.9	shimo_kitazawa
69000	0	5	5	16.59	8	0	0	1	0	0	6	2	0	160	4.9	shimo_kitazawa
70000	0	7	3	19	7	1	1	1	0	0	6	2	0	160	4.9	shimo_kitazawa
72000	0	11	4	17.64	8	0	0	1	1	1	6	2	0	160	4.9	shimo_kitazawa
70000	0	10	4	19.44	6	1	1	0	1	1	6	2	0	160	4.9	shimo_kitazawa
73000	0	13	4	19.44	0	0	1	0	1	1	6	2	0	160	4.9	shimo_kitazawa
72000	0	5	4	20.46	5	1	0	1	0	1	6	2	0	160	4.9	shimo_kitazawa
72000	0	7	4	18.84	1	0	1	1	0	0	6	2	0	160	4.9	shimo_kitazawa
75000	0	6	4	17.95	4	0	1	1	0	1	6	2	0	160	4.9	shimo_kitazawa
